index,affluence,cultivation,employment,education,status,morality,leadership,prosociality,eo,global_citizenship,_stack,commonappid
0,-.042175304,.064353488,.0010016572,.0040813503,-.057158139,.046166871,.11400101,.18003352,.040906705,.13189663,1,14004331
1,.044854984,.1476181,.0072545991,.11509135,.049275417,.18286775,.094635203,.20263866,.16832483,.098427787,2,14004331
2,.029608481,.16821249,-.019155614,.18891649,.074660115,.15052496,.057990085,.070008174,.16096862,.085653774,3,14004331
3,-.11610125,.12231504,-.0057110791,.080185205,.01289505,.077356473,.20104615,.31844607,.073497497,.19540985,1,14004401
4,.082938157,.11434253,.054668155,.12280575,.049452439,.17397216,-.000043009688,-.054478563,.097026989,.027588286,2,14004401
5,.054772142,.17656638,.015442093,.10350977,.024097813,.16351925,.12563512,.16484907,.079613008,.14279102,3,14004401
6,-.037842866,.031845395,.0144292,.038173955,.082311496,.044171136,.25649929,.32305056,.12009288,.15654384,1,14005855
7,.12476872,.11543714,-.016739957,.083733261,.05508903,.15199569,.020817734,.0021524474,.1874035,.026161429,2,14005855
8,.15081008,.16375433,.057202742,.14420228,.11853521,.1097412,.13892706,.16511032,.20740207,.1164517,3,14005855
9,-.025698001,.092518672,-.035749655,.10040886,.023233067,.10697901,-.055802457,.10237593,.082476817,-.023088012,1,14006140
10,.038464185,.1091983,.033750895,.082288161,.058859218,.094826028,.011957707,.12422957,.12310994,.053596172,2,14006140
11,.10829838,.15457885,-.014379418,.21174394,.08650557,.083240226,.071924865,-.026195452,.13541932,.045232873,3,14006140
12,.066874519,.063243434,.074744157,.018814558,-.012267418,.14582297,-.073499694,-.13210511,-.01157343,.0020420402,1,14007582
13,-.038980559,.071097411,-.11749269,-.001353419,.052888647,.10632113,.099205486,.083130419,.18526603,.041585699,2,14007582
14,.065426126,.13152173,-.0025879517,.077840433,.10856381,.14596061,.1609531,.19021693,.2369197,.10039623,3,14007582
15,-.057727877,.12968268,.040763285,.13069378,.04373521,.093505524,.11277701,.25670761,.20203668,.075441159,1,14008315
16,.1362887,.1345882,.052192677,.16402771,.17254257,.13004258,-.0050589563,.11849715,.22718549,.15869093,2,14008315
17,.020618558,.029674755,-.015167953,.047283739,.059187405,.071422487,.026008515,.12257835,.091128342,.22108929,3,14008315
18,-.00030373447,.11607113,-.026226623,.01442563,-.021405738,.093567416,.024826841,.091135159,.045791712,.099522293,1,14008618
19,.094747506,.14362428,-.093686223,.11106703,.12082402,.14612107,.13088377,.22496988,.28158209,.091462962,2,14008618
20,.086987883,.18708655,-.041351851,.25740442,.11489837,.10852224,.093345933,.022614306,.12243757,.066273764,3,14008618
21,-.083080515,.033403557,-.048863821,.043328036,.09452413,.097299621,.16087255,.12432159,.19161522,.048363741,1,14010712
22,-.071013577,.062377881,.028465932,-.0098746819,.027148966,.10935317,.13121726,.115516,.064808927,.25320438,2,14010712
23,.13736348,.15022308,.16145997,.11315849,.079553202,.17980389,.092922404,.065584004,.26730803,.10217202,3,14010712
24,-.06227183,-.0032369548,-.0018170774,.0025721067,-.067269303,.067692243,-.15869267,-.13071653,.03209722,-.015469971,1,14011902
25,.07091295,.12968019,-.063755557,.16249412,.062097836,.19576879,.12961809,.065995835,.15013844,-.0046516242,2,14011902
26,.11824947,.071207576,-.041996274,-.011795394,.0022817235,.076879397,-.011284838,-.05180756,.18692134,.012005567,3,14011902
27,-.013205486,.031841822,.050295163,.05367884,-.0081842206,.064576939,.043790247,.012887277,-.03964169,.046830676,1,14013349
28,-.16114025,.053882666,.052267462,-.014134044,-.028383061,-.020911083,.11948812,.17609662,.012002093,.14199534,2,14013349
29,.11692713,.083503708,-.035836771,.044827033,.050863471,.086698018,.030856222,.015245014,.16924608,.0080797253,3,14013349
30,-.092104845,-.024906233,-.092592157,.043152466,-.045632474,.055094391,-.069071069,-.0050279819,-.0020094379,-.027298061,1,14013717
31,.071062878,.04862592,-.014920088,.054642845,.038322527,.070899226,-.024885679,.058277201,.10223183,-.015647629,2,14013717
32,.11974432,.15054926,.0076977015,.18263766,.042168863,.081677862,.01247539,.059790663,.18544491,.041615549,3,14013717
33,-.0025301902,.16176213,.052471075,.082829013,.050539162,.198964,.16907954,.18311378,.0034811012,.091525845,1,14014951
34,.095525071,.1427432,.11013759,.077126212,.0097420998,.12879698,.027008887,.11700801,.089045838,.16130906,2,14014951
35,.076412559,.16414568,-.015655668,.1894889,-.031038105,.14043026,.06142142,-.043735899,.12990674,.068223327,3,14014951
36,.087004095,.20678805,-.003235789,.13096948,.096449956,.16920084,.27899724,.20697367,.24141407,.12704556,1,14017208
37,-.062471472,-.026585048,-.035969365,-.025136696,.013837831,-.054935507,.018180082,.092948034,-.0064031198,.084419176,2,14017208
38,.13151614,.073392898,.017214336,.07396777,.10459743,.15670201,.0068083536,.04757382,.23643398,.026240196,3,14017208
39,.032687835,.12713437,.034757838,.056887526,-.097315669,.16349988,.01956608,-.033986837,.086875483,.011456122,1,14017347
40,.033000365,.12596928,-.0022796718,.073184982,.071349718,.036090374,.14998311,.24029872,.19738549,.27117234,2,14017347
41,.052118152,.19096301,.062127881,.14167657,.12153056,.21291767,.18256317,.13737282,.17304213,.087172575,3,14017347
42,-.1161878,.075335465,.014431618,.064511977,-.02182387,.032715466,.0022823035,.18010759,-.0089988923,.14154467,1,14040331
43,-.038397007,-.02566606,-.026212135,-.086741969,-.052363761,-.055430546,.03126727,.040902797,.010202172,.20417462,2,14040331
44,-.015188808,.056161858,-.042550713,.045789085,.024540538,.049313512,-.011401802,.036013372,.046741653,.10848916,3,14040331
45,.023517333,.13176125,.087836117,.099533141,.052130092,.12532528,-.057125982,.018482018,.1447753,.079410732,1,14041049
46,.050548453,.13464475,-.05628258,.10478268,.080769271,.14875564,.12416513,.18721755,.14094627,.088217676,2,14041049
47,-.0050184624,.051641855,-.021762306,.057589848,.090748876,.072404169,-.041478001,.032195099,.105917,.084984004,3,14041049
48,-.0059601539,.041186769,.054684084,-.025343759,.034403771,-.021669615,.0299819,.10928816,.12755068,.26163903,1,14041796
49,.036541525,.071367897,.036706243,-.010601674,-.0025343096,.040410437,.12862818,.11691937,.038660586,.33469984,2,14041796
50,.021818304,.03865692,.10487288,.028109733,-.029724397,.059530895,-.0097944047,.078694738,.058938369,.077536903,3,14041796
51,-.0013996447,.13793771,-.0083270771,.040479992,.049534217,.095367931,.122787,.21826299,.17509489,.23075405,1,14052855
52,.059438597,.10350541,-.02077191,.084626295,.05904394,.11103283,-.0030759119,.049529731,.2006675,.1003968,2,14052855
53,.021938425,.16519322,-.055154361,.17866762,.078105383,.18267258,.16822633,.11210678,.1290541,.066758417,3,14052855
54,.1197416,.11812653,.082353041,.067576371,-.005121395,.15717858,.090383068,.025060771,.070791863,.0060166162,1,14058711
55,-.063800231,-.0011934536,.035107922,-.012657855,.011108603,-.022196706,-.0005343958,.020465871,.050377402,.18792392,2,14058711
56,.064082325,.075359136,.023938924,.048484549,-.12014969,.049575448,.078482047,.13277273,.0024464685,.0039425138,3,14058711
57,.022073418,.17193016,.019349877,.046279006,-.0149998,.16237941,.16204304,.17502384,.093501367,.21127747,1,14060428
58,.029461274,.13279518,-.0061323242,.056245226,.017069081,.094381429,.10550004,.15726598,.043795254,.28216735,2,14060428
59,.003051111,.1851874,-.067309171,.22383617,.018628817,.16890185,.18689875,.08407826,.17753193,.082761429,3,14060428
60,-.088646397,-.014180847,.1014217,.052166317,-.0081463037,.088362649,-.12330772,-.030549183,.041372087,-.03552248,1,14065482
61,.12263602,.028999731,.052320108,.092055939,.033348657,.029428123,-.010104853,-.0063253981,.10592195,.028353967,2,14065482
62,-.0083832573,.1729396,-.01540703,.1443764,.10413802,.14624873,.18050173,.17929597,.13883856,.19124295,3,14065482
63,.02894781,.090018257,.019534523,.072887383,.047439374,.16149975,-.035773881,.017344851,.098156005,.070177183,1,14065707
64,.13397384,.13038786,-.0051025362,.17354405,.1807027,.12369309,.093803756,.17555413,.31021339,.099062249,2,14065707
65,.12842697,.15484954,.070147641,.1758901,.12443504,.073951192,-.029685389,.070837282,.15003775,.11255176,3,14065707
66,-.012876601,.096786089,-.065415777,.10585689,.079141691,.17803907,.037458159,.15469427,.13116552,.043776434,1,14065771
67,.042207506,.029459346,.046624247,.073453575,.061357521,.0089125782,.014841172,-.0042105508,.069427088,.0016044014,2,14065771
68,.12200379,.16174491,.032544613,.092317879,.10353732,.21109799,.081378669,.10000928,.057730898,-.00073765963,3,14065771
69,.078054309,.079683736,-.025532238,.046619684,-.10981001,.079174943,-.0051500313,-.07231345,.04712176,.039890312,1,14069488
70,.019390397,.029785285,-.089010902,.008503641,.026927412,-.00099984079,.11096492,.054099992,.091442794,.050849542,2,14069488
71,.17060436,.10765292,-.090219125,.07184004,.08317893,.10935912,.066775911,.073373824,.20019442,.12280801,3,14069488
72,-.019905549,.10976974,.016181158,.061541446,-.017580384,.059183333,.062925041,.11897521,.023917347,.16257377,1,14081179
73,-.089173988,.065939076,-.19273449,-.029525951,-.00059208821,.06188383,.056625336,.11141343,.071907267,.095771722,2,14081179
74,.11487728,.17358246,.068680219,.21665771,.13296129,.062571399,.10971747,.075345755,.21615046,.11852444,3,14081179
75,-.072022513,.081022173,-.032530483,.056472242,-.08386685,.13234249,-.012797489,.032246381,.041159399,-.033519953,1,14081905
76,-.054046657,.13051648,-.055313371,.016626528,-.1424026,.133008,.11315154,.068586759,.0059886263,.063693561,2,14081905
77,.043562122,.10242349,.025517378,.029174864,.056195296,.074067622,.056946896,.061016921,.11517664,.054814886,3,14081905
78,.044179261,.048477609,.10400275,.053558249,-.070273131,.06221104,-.039094504,-.18881479,.10694683,-.04280708,1,14087108
79,.082785279,.10986826,.016146671,.11664769,.056545686,.042696737,.027623625,.034526169,.12449822,.063289151,2,14087108
80,.050100759,.21076077,-.050718915,.19817846,.051404409,.13418689,.11939936,.057110086,.18124464,.17263407,3,14087108
81,-.052197576,-.010349655,.041859586,.038905293,-.0025757479,-.0054430743,-.052188061,.0079970723,.079197526,.0055623031,1,14089801
